,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
129,P,USA,225,TX,Shelby Miller,,3,"Miller, S",mlb,R,Shelby,chn,Round Rock,6,2012-09-05T00:00:00,Chicago Cubs,CHC,1990-10-10T00:00:00,R,NL,"Miller, Shelby",1,"Brownwood, TX",Shelby,571946,Miller,112,,Y
130,P,USA,230,MO,Trevor Rosenthal,"Cowley CC, KS",2,Rosenthal,mlb,R,Trevor,oak,Lee's Summit,6,2012-07-18T00:00:00,Oakland Athletics,OAK,1990-05-29T00:00:00,R,AL,"Rosenthal, Trevor",1,"Lee's Summit West, Lee's Summit, MO",Trevor,572096,Rosenthal,133,,Y
131,P,USA,208,MO,Max Scherzer,Missouri,3,Scherzer,mlb,R,Max,lan,St. Louis,6,2008-04-29T00:00:00,Los Angeles Dodgers,LAD,1984-07-27T00:00:00,R,NL,"Scherzer, Max",1,"Parkway Central, Chesterfield, MO",Max,453286,Scherzer,119,,Y
132,P,USA,215,IA,Michael Wacha,Texas A&M,6,Wacha,mlb,R,Michael,tba,Iowa City,6,2013-05-30T00:00:00,Tampa Bay Rays,TB,1991-07-01T00:00:00,R,AL,"Wacha, Michael",1,"Pleasant Grove, Texarkana, TX",Michael,608379,Wacha,139,,Y
133,P,USA,195,NC,Chris Archer,,2,Archer,mlb,R,Chris,tba,Raleigh,6,2012-06-20T00:00:00,Tampa Bay Rays,TB,1988-09-26T00:00:00,R,AL,"Archer, Chris",1,"Clayton, NC",Chris,502042,Archer,139,,Y
134,P,USA,265,NY,Dellin Betances,,8,Betances,mlb,R,Dellin,nyn,New York,6,2011-09-22T00:00:00,New York Mets,NYM,1988-03-23T00:00:00,R,NL,"Betances, Dellin",1,"Grand Street Campus, Brooklyn, NY",Dellin,476454,Betances,121,,Y
135,P,USA,211,CA,Brad Boxberger,Southern California,10,Boxberger,mlb,R,Brad,mil,Fullerton,5,2012-06-10T00:00:00,Milwaukee Brewers,MIL,1988-05-27T00:00:00,R,NL,"Boxberger, Brad",1,"Foothill, North Tustin, CA",Brad,502202,Boxberger,158,,Y
136,P,USA,200,CA,Zack Britton,,1,Britton,mlb,L,Zack,nya,Panorama City,6,2011-04-03T00:00:00,New York Yankees,NYY,1987-12-22T00:00:00,L,AL,"Britton, Zack",1,"Weatherford, TX",Zack,502154,Britton,147,,Y
137,P,USA,225,FL,Wade Davis,,5,"Davis, W",mlb,R,Wade,kca,Lake Wales,6,2009-09-06T00:00:00,Kansas City Royals,KC,1985-09-07T00:00:00,R,AL,"Davis, Wade",1,"Lake Wales, FL",Wade,451584,Davis,118,,Y
138,P,USA,195,TN,Sonny Gray,Vanderbilt,10,"Gray, S",mlb,R,Sonny,cin,Smyrna,5,2013-07-10T00:00:00,Cincinnati Reds,CIN,1989-11-07T00:00:00,R,NL,"Gray, Sonny",1,"Smyrna, TN",Sonny,543243,Gray,113,,Y
139,P,Venezuela,220,,Felix Hernandez,,3,"Hernandez, F",mlb,R,Felix,atl,Valencia,6,2005-08-04T00:00:00,Atlanta Braves,ATL,1986-04-08T00:00:00,R,NL,"Hernandez, Felix",1,"U.E. Jose Austria, Valencia, VEN",Felix,433587,Hernandez,144,,Y
140,P,Dominican Republic,220,,Kelvin Herrera,,10,Herrera,mlb,R,Kelvin,chn,Tenares,5,2011-09-21T00:00:00,Chicago Cubs,CHC,1989-12-31T00:00:00,R,NL,"Herrera, Kelvin",1,,Kelvin,516969,Herrera,112,,Y
141,P,USA,220,FL,Darren O'Day,Florida,4,O'Day,mlb,R,Darren,nya,Jacksonville,6,2008-03-31T00:00:00,New York Yankees,NYY,1982-10-22T00:00:00,R,AL,"O'Day, Darren",1,"Bishop Kenny, Jacksonville, FL",Darren,503285,O'Day,147,,Y
142,P,USA,215,TN,David Price,Vanderbilt,5,Price,mlb,L,David,lan,Murfreesboro,6,2008-09-14T00:00:00,Los Angeles Dodgers,LAD,1985-08-26T00:00:00,L,NL,"Price, David",1,"Blackman, Murfreesboro, TN",David,456034,Price,119,,Y
143,P,USA,183,FL,Chris Sale,Florida Gulf Coast,6,Sale,mlb,L,Chris,bos,Lakeland,6,2010-08-06T00:00:00,Boston Red Sox,BOS,1989-03-30T00:00:00,L,AL,"Sale, Chris",1,"Lakeland, FL",Chris,519242,Sale,111,,Y
144,P,USA,215,NJ,Hector Santiago,Northwest Florida State,0,Santiago,mlb,R,Hector,sea,Newark,6,2011-07-06T00:00:00,Seattle Mariners,SEA,1987-12-16T00:00:00,L,AL,"Santiago, Hector",1,"Bloomfield Tech, Bloomfield, NJ",Hector,502327,Santiago,136,,Y
